machineID;time_in_cycles;voltmean_24h;rotatemean_24h;pressuremean_24h;vibrationmean_24h;voltsd_24h;rotatesd_24h;pressuresd_24h;vibrationsd_24h;voltmean_5d;rotatemean_5d;pressuremean_5d;vibrationmean_5d;voltsd_5d;rotatesd_5d;pressuresd_5d;vibrationsd_5d;model;age;failure;failed;RUL_I;Risk
1;167;171.64;449.72;102.23;41.19;13.48;36.65;10.39;5.79;172.33;461.25;100.84;43.83;1.86;8.31;1.27;3.64;model3;18;none;0;74;low
1;168;166.01;437.82;101.38;39.62;15.91;47.27;9.80;4.71;170.83;454.92;101.36;43.66;3.20;11.81;0.54;3.86;model3;18;none;0;73;low
1;169;165.02;455.03;98.69;42.45;14.88;39.88;8.41;5.27;169.27;452.12;100.87;42.84;3.83;8.93;1.33;3.52;model3;18;none;0;72;low
1;170;167.47;430.98;101.78;39.30;15.25;55.78;9.42;4.15;168.87;446.85;100.97;40.94;3.91;12.24;1.38;1.43;model3;18;none;0;71;low
1;171;168.92;440.11;98.12;38.21;13.50;58.61;8.67;3.77;167.81;442.73;100.44;40.15;2.60;9.61;1.89;1.67;model3;18;none;0;70;low
1;172;171.32;458.62;100.77;39.81;14.38;43.66;11.09;5.49;167.75;444.51;100.15;39.88;2.49;11.80;1.64;1.56;model3;18;none;0;69;low
1;173;170.70;432.29;103.19;40.16;14.13;52.10;9.77;5.58;168.69;443.40;100.51;39.99;2.55;12.80;2.11;1.56;model3;18;none;0;68;low
1;174;173.12;434.11;101.83;40.50;12.46;54.07;7.11;4.48;170.31;439.22;101.14;39.60;2.18;11.39;1.89;0.89;model3;18;none;0;67;low
1;175;172.63;449.53;101.52;40.10;18.31;54.36;10.72;5.34;171.34;442.93;101.09;39.76;1.66;11.05;1.88;0.90;model3;18;none;0;66;low
1;176;169.89;427.07;101.63;39.50;18.57;51.20;10.65;5.87;171.53;440.32;101.79;40.01;1.34;13.21;0.88;0.38;model3;18;none;0;65;low
1;177;173.78;428.47;97.28;40.87;12.51;43.48;11.93;5.22;172.02;434.29;101.09;40.23;1.65;8.98;2.23;0.51;model3;18;none;0;64;low
1;178;167.66;459.89;95.48;39.03;14.06;43.30;10.64;5.17;171.42;439.81;99.55;40.00;2.57;14.33;2.96;0.74;model3;18;none;0;63;low
1;179;166.71;436.80;99.62;39.36;13.51;46.44;8.20;4.86;170.13;440.35;99.11;39.77;3.06;14.11;2.69;0.72;model3;18;none;0;62;low
1;180;167.46;444.06;97.03;39.74;15.36;48.10;11.47;4.72;169.10;439.26;98.21;39.70;2.87;13.41;2.42;0.70;model3;18;none;0;61;low
1;181;171.74;448.79;97.74;42.48;14.60;50.31;10.13;6.60;169.47;443.60;97.43;40.29;3.11;11.91;1.49;1.40;model3;18;none;0;60;low
1;182;167.77;442.07;101.33;39.46;15.29;54.83;9.44;5.29;168.27;446.32;98.24;40.01;1.98;8.72;2.28;1.40;model3;18;none;0;59;low
1;183;170.03;441.07;102.70;36.99;15.32;50.56;11.02;5.19;168.74;442.56;99.69;39.61;2.08;4.38;2.38;1.95;model3;18;none;0;58;low
