voltmean_24h;rotatemean_24h;pressuremean_24h;vibrationmean_24h;voltsd_24h;rotatesd_24h;pressuresd_24h;vibrationsd_24h;voltmean_5d;rotatemean_5d;pressuremean_5d;vibrationmean_5d;voltsd_5d;rotatesd_5d;pressuresd_5d;vibrationsd_5d
171.64;449.72;102.23;41.19;13.48;36.65;10.39;5.79;172.33;461.25;100.84;43.83;1.86;8.31;1.27;3.64
166.01;437.82;101.38;39.62;15.91;47.27;9.80;4.71;170.83;454.92;101.36;43.66;3.20;11.81;0.54;3.86
165.02;455.03;98.69;42.45;14.88;39.88;8.41;5.27;169.27;452.12;100.87;42.84;3.83;8.93;1.33;3.52
167.47;430.98;101.78;39.30;15.25;55.78;9.42;4.15;168.87;446.85;100.97;40.94;3.91;12.24;1.38;1.43
168.92;440.11;98.12;38.21;13.50;58.61;8.67;3.77;167.81;442.73;100.44;40.15;2.60;9.61;1.89;1.67
171.32;458.62;100.77;39.81;14.38;43.66;11.09;5.49;167.75;444.51;100.15;39.88;2.49;11.80;1.64;1.56
170.70;432.29;103.19;40.16;14.13;52.10;9.77;5.58;168.69;443.40;100.51;39.99;2.55;12.80;2.11;1.56
173.12;434.11;101.83;40.50;12.46;54.07;7.11;4.48;170.31;439.22;101.14;39.60;2.18;11.39;1.89;0.89
172.63;449.53;101.52;40.10;18.31;54.36;10.72;5.34;171.34;442.93;101.09;39.76;1.66;11.05;1.88;0.90
169.89;427.07;101.63;39.50;18.57;51.20;10.65;5.87;171.53;440.32;101.79;40.01;1.34;13.21;0.88;0.38
173.78;428.47;97.28;40.87;12.51;43.48;11.93;5.22;172.02;434.29;101.09;40.23;1.65;8.98;2.23;0.51
167.66;459.89;95.48;39.03;14.06;43.30;10.64;5.17;171.42;439.81;99.55;40.00;2.57;14.33;2.96;0.74
166.71;436.80;99.62;39.36;13.51;46.44;8.20;4.86;170.13;440.35;99.11;39.77;3.06;14.11;2.69;0.72
167.46;444.06;97.03;39.74;15.36;48.10;11.47;4.72;169.10;439.26;98.21;39.70;2.87;13.41;2.42;0.70
171.74;448.79;97.74;42.48;14.60;50.31;10.13;6.60;169.47;443.60;97.43;40.29;3.11;11.91;1.49;1.40
167.77;442.07;101.33;39.46;15.29;54.83;9.44;5.29;168.27;446.32;98.24;40.01;1.98;8.72;2.28;1.40
170.03;441.07;102.70;36.99;15.32;50.56;11.02;5.19;168.74;442.56;99.69;39.61;2.08;4.38;2.38;1.95
172.12;468.15;102.66;43.07;11.65;55.13;10.00;8.20;169.82;448.83;100.29;40.35;2.17;11.20;2.72;2.47
165.65;443.83;102.30;49.25;17.24;43.81;10.51;4.51;169.46;448.78;101.35;42.25;2.74;11.23;2.09;4.61
167.97;449.49;101.35;49.05;13.41;37.01;8.47;6.05;168.71;448.92;102.07;43.56;2.46;11.23;0.68;5.54
173.93;444.38;99.63;41.24;14.13;46.89;12.63;4.78;169.94;449.38;101.73;43.92;3.28;10.92;1.29;5.26
165.15;470.20;108.00;39.29;13.55;50.06;17.80;7.17;168.96;455.21;102.79;44.38;3.91;12.96;3.14;4.55
167.88;442.31;124.01;47.47;14.24;53.26;10.46;6.46;168.12;450.04;107.06;45.26;3.49;11.59;9.98;4.66
161.73;459.40;117.82;50.30;10.30;48.11;18.11;5.39;167.33;453.16;110.16;45.47;4.48;11.59;10.53;4.90
170.05;460.58;99.44;43.80;16.18;42.51;11.55;6.22;167.75;455.37;109.78;44.42;4.65;11.77;10.96;4.49
170.13;470.65;101.24;40.75;17.36;54.89;9.87;4.74;166.99;460.63;110.10;44.32;3.57;11.50;10.60;4.58
169.04;448.15;101.24;40.43;13.86;44.86;11.13;4.45;167.76;456.22;108.75;44.55;3.50;11.13;11.34;4.29
166.35;451.78;97.79;39.73;13.49;48.52;9.02;5.49;167.46;458.11;103.51;43.00;3.55;8.72;8.13;4.37
169.43;442.33;95.21;39.34;11.11;54.58;11.27;4.30;169.00;454.70;98.98;40.81;1.55;11.10;2.55;1.76
167.26;457.14;100.92;40.46;13.61;57.26;10.09;6.53;168.44;454.01;99.28;40.14;1.58;10.75;2.70;0.59
172.02;443.85;99.95;41.08;15.12;43.35;8.49;3.97;168.82;448.65;99.02;40.21;2.19;6.02;2.52;0.68
166.07;458.75;101.40;38.71;12.71;56.77;7.85;4.85;168.23;450.77;99.05;39.86;2.49;7.49;2.56;0.93
169.71;450.77;105.05;40.54;13.56;45.69;8.73;5.40;168.90;450.57;100.50;40.03;2.31;7.47;3.53;0.97
168.94;442.63;99.89;39.95;15.53;39.05;8.95;4.38;168.80;450.63;101.44;40.15;2.29;7.39;2.12;0.90
170.45;444.60;103.94;41.31;14.63;57.88;10.72;5.87;169.44;448.12;102.04;40.32;2.20;6.72;2.35;1.04
167.09;476.05;102.70;41.05;11.50;47.44;8.94;5.16;168.45;454.56;102.59;40.31;1.83;13.56;2.04;1.04
170.38;459.38;98.63;39.55;17.78;58.32;8.27;5.90;169.32;454.69;102.04;40.48;1.39;13.61;2.71;0.73
166.83;455.22;98.49;40.09;13.96;54.99;10.68;5.34;168.74;455.58;100.73;40.39;1.73;13.43;2.47;0.75
176.43;452.55;100.18;41.45;19.92;47.43;9.98;4.25;170.24;457.56;100.79;40.69;3.87;11.66;2.44;0.83
176.75;445.14;99.60;40.25;15.85;47.18;11.00;4.28;171.50;457.67;99.92;40.48;4.86;11.51;1.70;0.76
169.24;450.74;99.83;39.28;12.78;37.73;8.77;5.02;171.93;452.60;99.34;40.13;4.45;5.29;0.75;0.84
165.98;444.60;99.89;39.57;12.16;57.58;8.45;5.68;171.05;449.65;99.60;40.13;5.20;4.65;0.65;0.84
166.94;453.65;98.19;40.01;15.90;56.01;9.92;4.34;171.07;449.33;99.54;40.11;5.18;4.21;0.78;0.84
168.84;432.40;99.95;40.50;13.70;55.10;12.00;5.55;169.55;445.30;99.49;39.92;4.24;8.16;0.74;0.50
172.67;458.47;100.55;38.98;14.71;46.14;8.01;5.27;168.73;447.97;99.68;39.67;2.58;10.05;0.88;0.60
176.33;450.90;98.72;41.01;14.20;45.85;9.33;5.00;170.15;448.00;99.46;40.01;4.30;10.06;0.97;0.79
171.06;448.76;99.80;39.42;18.03;54.42;9.02;5.27;171.17;448.84;99.44;39.98;3.61;9.88;0.96;0.82
172.34;444.25;103.86;41.78;16.30;47.76;9.68;6.09;172.25;446.96;100.57;40.34;2.73;9.63;1.95;1.15
170.93;439.57;103.11;42.43;15.76;56.50;10.64;4.68;172.67;448.39;101.21;40.72;2.19;7.13;2.19;1.49
171.33;456.42;98.57;41.05;13.94;47.17;9.28;6.14;172.40;447.98;100.81;41.14;2.27;6.42;2.50;1.12
169.19;443.16;100.96;40.89;12.53;46.51;11.03;4.81;170.97;446.43;101.26;41.11;1.14;6.48;2.21;1.13
171.19;460.54;99.65;39.22;13.54;45.38;8.65;4.28;171.00;448.79;101.23;41.07;1.14;9.13;2.24;1.21
165.28;445.67;100.88;39.09;11.01;50.11;11.94;4.65;169.58;449.07;100.63;40.53;2.55;8.98;1.70;1.40
174.69;452.10;97.77;39.62;18.64;40.41;5.01;4.74;170.34;451.58;99.57;39.97;3.45;7.24;1.41;0.93
168.12;448.45;96.99;40.63;12.83;38.70;7.94;4.80;169.69;449.98;99.25;39.89;3.52;6.77;1.81;0.82
172.95;447.07;100.41;40.47;11.74;43.52;11.60;4.98;170.45;450.77;99.14;39.81;3.77;5.96;1.69;0.71
169.14;453.84;99.34;40.01;15.44;52.16;8.14;4.21;170.04;449.43;99.08;39.96;3.78;3.44;1.67;0.63
177.80;452.32;100.71;39.55;15.11;44.58;10.44;5.03;172.54;450.75;99.04;40.06;3.99;2.86;1.63;0.49
166.40;441.98;101.19;40.47;12.78;44.08;12.40;5.45;170.88;448.73;99.73;40.23;4.55;4.67;1.68;0.44
170.12;469.27;102.82;39.55;18.07;52.64;11.67;4.79;171.28;452.90;100.89;40.01;4.33;10.28;1.27;0.46
172.32;438.22;98.29;41.10;14.45;46.58;10.84;5.58;171.16;451.13;100.47;40.14;4.28;12.13;1.74;0.66
173.37;457.04;98.52;41.40;14.80;45.70;9.04;4.16;172.00;451.77;100.31;40.41;4.20;12.39;1.90;0.86
168.82;440.45;97.82;39.99;14.65;57.44;7.52;4.34;170.21;449.39;99.73;40.50;2.78;13.35;2.17;0.76
170.48;465.14;99.96;40.58;16.69;61.91;9.78;5.15;171.02;454.03;99.48;40.52;1.81;14.13;2.03;0.76
165.21;472.24;100.43;40.46;11.81;56.70;10.18;4.91;170.04;454.62;99.01;40.71;3.21;14.97;1.13;0.55
169.72;438.06;100.77;40.56;14.27;53.51;9.27;5.28;169.52;454.59;99.50;40.60;2.95;15.01;1.27;0.51
174.29;461.67;97.22;39.40;16.33;43.66;11.04;5.40;169.70;455.51;99.24;40.20;3.26;15.34;1.61;0.51
171.60;426.09;100.07;42.14;11.51;48.37;10.04;5.65;170.26;452.64;99.69;40.63;3.31;19.62;1.42;0.98
173.52;435.02;100.15;40.04;13.95;43.68;10.02;3.81;170.87;446.62;99.73;40.52;3.62;19.44;1.43;1.01
177.34;450.69;98.62;40.53;14.15;41.63;7.83;5.00;173.29;442.31;99.37;40.53;2.88;13.96;1.43;1.01
170.69;454.94;97.09;40.33;12.57;43.99;8.25;5.25;173.49;445.68;98.63;40.49;2.59;14.70;1.48;1.02
171.67;457.48;95.97;39.48;13.34;44.84;8.61;4.73;172.97;444.84;98.38;40.50;2.65;13.64;1.84;1.00
169.89;444.56;99.25;48.21;15.34;45.69;11.36;6.70;172.62;448.54;98.22;41.72;2.97;9.00;1.68;3.65
168.55;444.89;97.35;54.83;13.73;45.87;11.04;7.64;171.63;450.51;97.66;44.67;3.39;5.82;1.30;6.68
166.91;445.51;98.70;53.17;13.86;58.22;8.93;7.50;169.54;449.48;97.67;47.20;1.86;6.22;1.31;7.10
168.12;451.81;102.62;39.75;12.12;30.04;10.67;4.23;177.21;414.73;100.03;40.39;10.97;34.36;2.30;1.14
164.84;437.19;96.54;40.02;14.82;47.57;10.36;4.39;176.24;414.11;99.49;40.46;11.97;33.82;2.80;1.09
167.71;453.14;94.72;40.19;11.25;47.77;9.54;4.58;172.56;426.94;98.44;40.03;10.96;34.07;3.48;0.35
169.50;458.23;101.62;39.17;17.11;49.74;11.52;4.76;168.09;444.54;99.43;39.76;2.09;14.69;3.55;0.39
169.66;445.45;98.44;41.38;14.92;46.61;8.00;4.26;167.97;449.17;98.79;40.10;1.94;8.10;3.33;0.81
173.22;447.83;96.99;39.46;17.26;49.92;6.98;5.05;168.99;448.37;97.66;40.04;3.06;7.97;2.58;0.85
167.98;446.07;99.97;40.19;14.97;62.64;9.94;4.26;169.61;450.14;98.35;40.08;2.20;5.44;2.66;0.86
173.79;457.17;97.93;39.92;17.90;52.88;9.74;6.30;170.83;450.95;98.99;40.02;2.54;6.24;1.82;0.86
169.83;462.81;98.00;40.09;16.12;45.92;10.92;5.65;170.90;451.86;98.27;40.21;2.50;7.73;1.09;0.71
164.39;445.52;102.05;39.87;20.61;59.10;7.82;5.15;169.84;451.88;98.99;39.91;3.88;7.71;2.02;0.28
167.28;437.85;97.17;39.46;15.81;52.44;9.76;5.72;168.66;449.88;99.02;39.91;3.47;9.98;1.98;0.28
165.93;463.82;99.97;41.15;15.69;55.04;8.50;3.83;168.24;453.43;99.02;40.10;3.69;11.35;1.98;0.63
175.33;461.76;99.67;39.91;13.66;48.01;10.01;6.69;168.55;454.35;99.37;40.10;4.28;11.90;1.89;0.63
172.31;461.91;100.42;41.20;17.34;46.72;8.05;5.04;169.05;454.17;99.86;40.32;4.60;11.75;1.76;0.80
169.49;436.46;100.86;40.99;11.62;47.30;9.40;4.83;170.07;452.36;99.62;40.54;3.81;13.91;1.44;0.80
166.35;437.93;99.33;39.52;17.44;61.82;10.77;7.06;169.88;452.38;100.05;40.55;3.99;13.89;0.61;0.78
164.90;450.50;95.70;38.58;12.33;39.90;10.57;6.01;169.67;449.71;99.20;40.04;4.26;12.34;2.05;1.08
167.57;460.32;102.20;39.70;12.34;54.03;8.22;5.57;168.12;449.42;99.70;40.00;2.88;12.00;2.46;1.09
178.64;438.26;98.25;39.24;12.88;45.21;9.02;4.69;169.39;444.69;99.27;39.61;5.44;10.40;2.50;0.88
169.16;449.83;100.61;38.96;18.69;49.81;8.88;5.07;169.32;447.37;99.22;39.20;5.44;9.43;2.46;0.45
168.09;456.46;100.74;39.43;10.46;61.77;9.81;5.48;169.67;451.07;99.50;39.18;5.25;8.38;2.55;0.43
165.60;451.97;100.24;40.21;13.49;41.16;11.71;3.13;169.81;451.37;100.41;39.51;5.10;8.38;1.42;0.48
174.97;342.86;103.08;41.09;13.97;49.52;9.06;4.92;171.29;427.88;100.58;39.79;5.36;48.00;1.72;0.86
168.81;362.42;100.44;40.50;13.21;50.98;8.14;5.01;169.33;412.71;101.02;40.04;3.45;55.32;1.17;0.85
167.56;456.17;98.28;40.80;20.04;63.02;12.60;5.18;169.01;413.98;100.56;40.41;3.54;56.44;1.71;0.64
168.86;430.61;94.64;40.24;14.80;56.29;8.42;5.22;169.16;408.81;99.34;40.57;3.51;52.63;3.13;0.38
168.18;443.46;98.79;37.63;14.01;58.43;13.67;5.11;169.68;407.10;99.05;40.05;3.00;51.00;3.09;1.39
170.83;388.25;100.36;44.74;15.52;55.49;9.11;6.86;168.85;416.18;98.50;40.78;1.23;39.44;2.36;2.55
171.96;365.17;97.63;49.57;15.12;36.01;9.25;5.51;169.48;416.73;97.94;42.60;1.85;38.51;2.10;4.65
168.43;422.12;101.27;45.82;17.19;62.62;9.42;6.10;169.65;409.92;98.54;43.60;1.66;32.30;2.59;4.71
165.83;446.30;101.12;39.84;13.74;59.20;11.66;4.58;171.24;413.93;100.85;40.54;4.16;35.98;1.64;0.66
171.30;446.58;99.36;39.38;14.30;28.90;10.81;4.84;170.29;414.13;101.03;40.30;3.21;36.21;1.32;0.83
166.65;440.74;98.48;39.36;17.85;51.33;9.74;5.04;169.64;428.18;100.69;39.87;3.61;27.67;1.74;0.58
170.67;455.27;101.22;40.32;15.89;58.44;9.17;4.86;168.83;443.05;100.58;39.93;2.45;10.68;1.68;0.61
166.27;466.19;98.04;39.69;14.63;48.17;11.46;5.47;168.14;451.02;99.65;39.72;2.62;9.95;1.47;0.39
170.55;461.97;100.63;42.19;17.12;39.19;10.78;4.18;169.09;454.15;99.55;40.19;2.42;10.54;1.36;1.18
167.34;464.09;100.17;40.09;16.45;60.18;9.77;5.18;168.29;457.65;99.71;40.33;2.15;10.30;1.38;1.10
168.38;455.74;99.94;39.60;14.72;42.59;8.90;5.55;168.64;460.65;100.00;40.38;1.95;4.93;1.20;1.05
170.66;440.48;98.60;37.93;12.90;47.35;11.05;4.36;168.64;457.69;99.47;39.90;1.94;10.39;1.10;1.52
170.26;422.41;98.48;39.56;18.24;47.60;11.07;4.69;169.44;448.94;99.56;39.87;1.49;17.47;0.97;1.53
171.76;439.90;99.51;41.46;15.66;51.94;8.11;5.55;169.68;444.52;99.34;39.73;1.79;16.09;0.77;1.27
174.20;455.36;99.17;40.53;12.62;31.59;9.36;5.27;171.05;442.78;99.14;39.82;2.14;13.73;0.61;1.31
169.40;444.67;99.54;39.81;15.49;63.80;9.89;5.20;171.25;440.56;99.06;39.86;1.85;11.89;0.50;1.31
173.26;441.92;100.13;40.80;13.79;40.87;8.47;5.63;171.77;440.85;99.36;40.43;2.00;11.91;0.60;0.77
