a1;a2;a3;a4;failure
5.550694828;3.915708333;2.95472358;3.101976791;0
6.204720886;3.743654781;3.266855525;3.577365833;0
5.112671172;4.248774386;3.006689781;2.940574324;0
5.795921893;4.159700612;3.154457209;3.352784868;0
6.10645884;4.168643343;3.314856036;3.712538552;0
5.529687736;4.173965728;2.956541356;3.339347145;0
5.317742161;3.75906611;3.141664171;2.905080066;0
5.553560024;3.767864364;3.048225428;3.277126655;0
5.705086542;4.046436229;3.14982397;3.1500565;0
6.178600172;4.488587877;3.340683256;3.254730656;0
5.712270121;3.890283513;3.264751739;3.33534252;0
6.543585527;4.365445221;3.324241575;3.340145;0
5.909358167;4.111250752;3.311464809;3.175106783;0
6.901415431;4.043590579;3.524778848;4.33257991;0
5.713071326;3.846698228;3.097946238;2.999718924;0
5.417396511;4.019414041;3.093609379;2.995587658;0
5.456837627;3.499410054;3.089648573;3.136417105;0
5.280275995;3.788864316;3.015037622;2.850065963;0
6.461061198;4.748380126;3.488014934;3.556673779;0
5.890907078;3.852361421;3.292974145;3.362936672;0
5.958053365;4.320288647;3.300109599;3.455186625;0
6.417421397;4.239490212;3.474783165;3.635239083;0
6.356659296;4.715377539;3.462469329;3.711754526;0
5.993603232;4.062493922;3.127623512;3.236700522;0
5.660002633;4.763623399;3.343442944;3.28379257;0
6.203705698;4.406361901;3.39363704;3.283358293;0
5.694776611;4.236274168;3.039039833;3.170292374;0
5.585071453;4.118161382;3.258430118;3.332304707;0
5.216850233;4.186336451;3.148055451;2.840956696;0
6.049098008;3.918215184;3.237347915;3.190758686;0
6.328455361;4.652689407;3.398443598;4.128649071;0
4.980391296;3.455758838;2.783320274;2.901399188;0
5.298655715;3.816371591;3.005566684;2.953982972;0
6.034652199;4.595681088;3.276006233;3.389136771;0
5.543648485;3.728878951;3.088576145;2.918916643;0
6.252347547;4.3685569;3.178691727;3.312544021;0
5.806669777;3.958295307;3.207903265;3.346739372;0
6.77315707;4.218514219;3.533029052;3.555886045;0
6.144702779;4.39529043;3.312047234;3.482721779;0
6.157025466;4.538532853;3.348936004;3.736530901;0
