a1;load;failure
5.550694828;0;0
6.204720886;0;0
5.112671172;0;0
5.795921893;0;0
6.10645884;0;0
5.529687736;0;0
5.317742161;0;0
5.553560024;0;0
5.705086542;0;0
6.178600172;0;0
5.712270121;0;0
6.543585527;0;0
5.909358167;0;0
6.901415431;0;0
5.713071326;0;0
5.417396511;0;0
5.456837627;0;0
5.280275995;0;0
6.461061198;0;0
5.890907078;0;0
5.958053365;0;0
6.417421397;0;0
6.356659296;0;0
5.993603232;0;0
5.660002633;0;0
6.203705698;0;0
5.694776611;0;0
5.585071453;0;0
5.216850233;0;0
6.049098008;0;0
6.328455361;0;0
4.980391296;0;0
5.298655715;0;0
6.034652199;0;0
5.543648485;0;0
6.252347547;0;0
5.806669777;0;0
6.77315707;0;0
6.144702779;0;0
6.157025466;0;0
5.641183061;0;0
6.076723647;0;0
5.779421078;0;0
5.398549442;0;0
6.314470688;0;0
6.505836431;0;0
5.855022901;0;0
6.55150563;0;0
6.229358919;0;0
5.740744786;0;0
5.306328085;0;0
5.687058482;0;0
6.055809029;0;0
5.429521082;0;0
5.412093489;0;0
6.23489634;0;0
5.930696477;0;0
6.151292472;0;0
5.449901201;0;0
6.700357297;0;0
5.843542422;0;0
6.229018492;0;0
6.142608498;0;0
6.707868183;0;0
6.591948857;0;0
6.543575414;0;0
5.329232362;0;0
6.170627724;0;0
6.241832952;0;0
6.259609676;0;0
6.060604618;0;0
5.592214729;0;0
5.949708851;0;0
5.884087926;0;0
5.989828339;0;0
6.064578876;0;0
5.12053985;0;0
5.71032164;0;0
6.588526055;0;0
5.67567517;0;0
6.432267185;0;0
6.830455841;0;0
5.852564107;0;0
5.903900796;0;0
5.479405219;0;0
5.74772875;0;0
5.957818611;0;0
6.318709321;0;0
5.78587039;10;0
6.441423533;10;0
5.604331043;10;0
5.846959116;10;0
5.991662968;10;0
5.106376406;10;0
5.970456844;10;0
6.170544525;10;0
5.841108291;10;0
5.546510293;10;0
6.073264487;10;0
5.202240717;10;0
5.797241896;10;0
5.945927983;10;0
5.503248234;10;0
6.807314224;10;0
6.583415793;10;0
5.169865344;10;0
5.333580218;10;0
6.440885621;10;0
6.131042083;10;0
6.693495547;10;0
6.619934715;10;0
5.889675525;10;0
5.66039078;10;0
5.779412866;10;0
6.049247435;10;0
5.72897754;10;0
5.777662043;10;0
6.296961082;10;0
6.740575447;10;0
6.5678313;10;0
6.806552659;10;0
5.903850651;10;0
5.534629027;10;0
5.170334168;10;0
5.925537684;10;0
5.825788657;10;0
6.516211512;10;0
5.54273244;10;0
5.761534814;10;0
6.692757375;10;0
5.921472736;10;0
5.532222116;10;0
5.960483983;10;0
6.367635537;10;0
5.754369176;10;0
5.89094388;10;0
6.365952618;10;0
6.464226495;10;0
6.724134336;10;0
5.748686717;10;0
5.570624305;10;0
6.310236487;10;0
5.011168638;10;0
6.107091581;10;0
5.313623874;10;0
5.966807734;10;0
6.720843282;10;0
6.580500343;10;0
6.119970021;10;0
5.348863502;10;0
6.729983158;10;0
5.339543391;10;0
6.519129262;10;0
5.819790245;10;0
6.298087538;10;0
6.835825775;10;0
6.179056244;10;0
6.391289792;10;0
5.919509217;10;0
6.449434038;10;0
6.609504051;10;0
5.803501357;10;0
5.97015323;10;0
6.109642523;10;0
5.804695924;10;0
5.49101374;10;0
5.92215128;10;0
5.878116834;10;0
5.5439026;10;0
6.533119845;10;0
5.473634244;10;0
6.477643229;10;0
6.39360459;10;0
5.975438971;10;0
6.113706724;10;0
5.735605406;10;0
5.756429208;10;0
5.836116114;10;0
6.307517231;10;0
5.292899223;10;0
6.401989459;20;0
6.761889572;20;0
7.438606643;20;0
6.287948104;20;0
6.439892201;20;0
6.063598065;20;0
6.598253664;20;0
6.323197739;20;0
7.07087801;20;0
5.287443184;20;0
6.755372245;20;0
6.286110562;20;0
6.185693137;20;0
5.879508205;20;0
6.221303594;20;0
6.149801265;20;0
6.203304477;20;0
5.771537031;20;0
6.586628661;20;0
7.463842265;20;0
6.759321044;20;0
7.210749265;20;0
7.155306037;20;0
6.423341271;20;0
5.270399058;20;0
5.841422176;20;0
5.320615405;20;0
5.883163057;20;0
6.657260343;20;0
5.855252512;20;0
5.698258871;20;0
6.399200368;20;0
5.933631811;20;0
5.688189165;20;0
6.414968971;20;0
6.366285062;20;0
5.538383964;20;0
6.537633279;20;0
6.595939302;20;0
5.20609829;20;0
6.984142308;20;0
5.480749355;20;0
5.699719005;20;0
6.094729294;20;0
6.820210262;20;0
6.407268621;20;0
6.047771764;20;0
6.424430363;20;0
7.262013338;20;0
6.784047809;20;0
5.727967059;20;0
6.395647808;20;0
5.619230607;20;0
6.099248527;20;0
6.220804276;20;0
5.962249305;20;0
6.075061065;20;0
6.439716163;20;0
5.766217805;20;0
6.061645245;20;0
6.30254286;20;0
6.160894071;20;0
6.377315142;20;0
6.059876305;20;0
6.592617679;20;0
6.810748149;20;0
5.555812794;20;0
5.551394894;20;0
6.422173353;20;0
5.910560884;20;0
6.526660893;20;0
7.047274567;20;0
6.058925814;20;0
5.685594367;20;0
6.573206827;20;0
6.768634023;20;0
6.190309176;20;0
6.33625653;20;0
6.592393052;20;0
6.705253011;20;0
6.126737444;20;0
6.382857793;20;0
5.961245208;20;0
6.784245699;20;0
5.837989371;20;0
5.915013001;20;0
5.862097233;20;0
6.723698403;20;0
7.05087036;20;0
6.092057135;20;0
6.392320016;20;0
6.646496407;20;0
7.116841947;20;0
