principal component 1;principal component 2;model;age;Risk
-11.00183807;-10.13816065;model3;18;low
3.576910812;-10.19344838;model3;18;low
-11.53851653;-1.409214688;model3;18;low
13.33208665;-8.439301121;model3;18;low
6.450094475;-2.742245638;model3;18;low
-10.38807065;6.862070927;model3;18;low
13.48611239;-5.364032176;model3;18;low
13.22067927;-2.689029351;model3;18;low
-1.483244493;2.795956138;model3;18;low
19.22433487;-5.935656362;model3;18;low
18.38786336;-4.12801306;model3;18;low
-8.832276139;11.918764;model3;18;low
10.84220276;-0.437648343;model3;18;low
4.949237728;3.581347779;model3;18;low
-1.138243853;2.486684928;model3;18;low
2.812287696;-4.520743895;model3;18;low
3.37892264;-5.383972564;model3;18;low
-19.59586825;8.878482453;model3;18;low
0.40432132;-3.756223823;model3;18;low
-4.986779851;-0.986264614;model3;18;low
-0.196362901;-3.944798893;model3;18;low
-23.57964693;7.025431356;model3;18;low
2.081349402;-5.063628549;model3;18;low
-14.10619806;1.800358203;model3;18;low
-16.37268451;1.214357387;model3;18;low
-26.22414069;3.164434363;model3;18;low
-6.129916756;-6.075815144;model3;18;low
-10.53858393;-6.761463203;model3;18;low
0.080981807;-8.053361932;model3;18;low
-12.20682709;-0.206125904;model3;18;low
-1.354992881;-6.757311354;model3;18;low
-13.45062881;0.645719668;model3;18;low
-7.34483436;-3.489971283;model3;18;low
-0.92753125;-7.821155411;model3;18;low
-0.490318289;-5.495216971;model3;18;low
-28.33432905;10.78881265;model3;18;low
-13.35085279;2.28064879;model3;18;low
-10.44609688;-0.559132215;model3;18;low
-10.07362631;-4.277777051;model3;18;low
-3.863933196;-8.255112226;model3;18;low
-9.440075168;-6.116380393;model3;18;low
-1.829478267;-7.662258405;model3;18;low
-9.694953182;-3.070190372;model3;18;low
11.29990503;-9.213602266;model3;18;low
-12.02699506;3.650430804;model3;18;intermediate
-5.598324661;-0.259984461;model3;18;intermediate
-3.533250395;-1.906280151;model3;18;intermediate
0.50194856;-3.326445437;model3;18;intermediate
3.731797928;-8.023803628;model3;18;intermediate
