principal component 1;principal component 2;age;Risk;model
-11.00183807;-10.13816065;18;low;3
3.576910812;-10.19344838;18;low;3
-11.53851653;-1.409214688;18;low;3
13.33208665;-8.439301121;18;low;3
6.450094475;-2.742245638;18;low;3
-10.38807065;6.862070927;18;low;3
13.48611239;-5.364032176;18;low;3
13.22067927;-2.689029351;18;low;3
-1.483244493;2.795956138;18;low;3
19.22433487;-5.935656362;18;low;3
18.38786336;-4.12801306;18;low;3
-8.832276139;11.918764;18;low;3
10.84220276;-0.437648343;18;low;3
4.949237728;3.581347779;18;low;3
-1.138243853;2.486684928;18;low;3
2.812287696;-4.520743895;18;low;3
3.37892264;-5.383972564;18;low;3
-19.59586825;8.878482453;18;low;3
0.40432132;-3.756223823;18;low;3
-4.986779851;-0.986264614;18;low;3
-0.196362901;-3.944798893;18;low;3
-23.57964693;7.025431356;18;low;3
2.081349402;-5.063628549;18;low;3
-14.10619806;1.800358203;18;low;3
-16.37268451;1.214357387;18;low;3
-26.22414069;3.164434363;18;low;3
-6.129916756;-6.075815144;18;low;3
-10.53858393;-6.761463203;18;low;3
0.080981807;-8.053361932;18;low;3
-12.20682709;-0.206125904;18;low;3
-1.354992881;-6.757311354;18;low;3
-13.45062881;0.645719668;18;low;3
-7.34483436;-3.489971283;18;low;3
-0.92753125;-7.821155411;18;low;3
-0.490318289;-5.495216971;18;low;3
-28.33432905;10.78881265;18;low;3
-13.35085279;2.28064879;18;low;3
-10.44609688;-0.559132215;18;low;3
-10.07362631;-4.277777051;18;low;3
-3.863933196;-8.255112226;18;low;3
-9.440075168;-6.116380393;18;low;3
-1.829478267;-7.662258405;18;low;3
-9.694953182;-3.070190372;18;low;3
11.29990503;-9.213602266;18;low;3
-12.02699506;3.650430804;18;low;3
-5.598324661;-0.259984461;18;low;3
-3.533250395;-1.906280151;18;low;3
0.50194856;-3.326445437;18;low;3
3.731797928;-8.023803628;18;low;3
-11.42879545;0.415931828;18;low;3
0.489015086;-5.459665409;18;low;3
-14.4796521;3.656293756;18;low;3
-1.587971285;-4.239221622;18;low;3
-9.35982158;-3.573656204;18;low;3
-5.898133657;-4.790541875;18;low;3
-4.943348704;-6.426763139;18;low;3
-10.43015662;-3.537011527;18;low;3
-10.38705878;-5.547428234;18;low;3
-0.183141225;-8.588216401;18;low;3
-22.61875309;6.401040805;18;low;3
4.765336971;-7.469267133;18;low;3
-11.54331239;1.995190508;18;low;3
4.72557421;-4.409743107;18;low;3
-17.58635437;5.994959739;18;low;3
-23.97847787;9.737103661;18;low;3
5.021081393;-7.877556763;18;low;3
-16.11253026;3.858833036;18;low;3
17.17970437;-10.1457747;18;low;3
11.50412408;-2.007287253;18;low;3
-2.199029699;5.405040988;18;low;3
-6.730829717;6.00033765;18;high;3
-8.868918743;7.206352314;18;high;3
-0.759275139;-4.536433616;18;high;3
-2.877780674;-7.48777206;18;high;3
-1.981143355;-6.169951229;18;high;3
13.62821311;34.93891211;7;low;4
27.42790135;27.65716994;7;low;4
8.884617887;28.20969355;7;low;4
-8.651331429;8.437571224;7;low;4
-1.994886258;-4.965308111;7;low;4
-3.531116552;-3.275334981;7;low;4
-2.639421;-6.674736393;7;low;4
-12.87770394;-1.049898588;7;low;4
-18.05235804;2.116374912;7;low;4
-2.330959554;-6.708163466;7;low;4
5.270503271;-8.124429857;7;low;4
-17.65068797;3.93611858;7;low;4
-16.57598676;2.586346269;7;low;4
-16.77270786;2.660799722;7;low;4
6.439102511;-8.066842265;7;low;4
6.219835302;-7.177387792;7;low;4
-5.587825644;-0.206969345;7;low;4
-12.94657628;4.955975388;7;low;4
6.557672062;-4.545745296;7;low;4
-4.349343575;-0.775118396;7;low;4
-10.95777568;-0.126970134;7;low;4
-8.713463255;-2.845086943;7;low;4
107.5626568;-20.89740315;7;low;4
99.33221837;2.871923179;7;low;4
19.99358373;51.25848232;7;low;4
42.06233654;38.89451274;7;high;4
31.37572324;45.59842004;7;high;4
70.9054824;4.577477467;7;high;4
88.68176939;-8.423878936;7;high;4
42.52968365;21.65426169;7;high;4
21.30275277;33.86217097;8;low;3
18.87912289;33.72163553;8;low;3
17.13478736;17.22909863;8;low;3
-6.268900445;5.504927607;8;low;3
-19.69715843;5.727090545;8;low;3
-17.75756968;1.888784709;8;low;3
-19.50694836;0.921326641;8;low;3
-16.6144126;-8.624274116;8;low;3
-0.252585859;-11.34486195;8;low;3
20.99983585;-11.07152712;8;low;3
7.624803511;-0.139746164;8;low;3
-7.164990441;7.274593817;8;low;3
4.539606976;2.342442011;8;low;3
5.129685282;0.519690983;8;low;3
0.178654595;-4.427666189;8;low;3
-1.159917937;-4.73188887;8;low;3
-4.75002527;-5.345586828;8;low;3
-12.92275762;1.897961448;8;low;3
-8.581003007;-3.264020337;8;low;3
0.910485395;-7.611326379;8;low;3
-13.57817267;-1.248039363;8;low;3
-0.851737561;-7.356290706;8;low;3
6.129172481;-7.467439323;8;low;3
-6.928806882;0.771937561;8;low;3
-18.98742839;6.456917379;8;low;3
-4.64516752;-1.230902482;8;low;3
-13.85198218;1.828635063;8;low;3
0.615099888;-9.5284402;8;low;3
0.026706745;-5.975156694;8;low;3
-12.39140013;1.437783;8;low;3
-10.02486648;-0.970629607;8;low;3
-2.606350541;-4.869852921;8;low;3
-18.75343705;2.231052585;8;low;3
-20.05228921;-1.022916854;8;low;3
2.060268156;-9.167757379;8;low;3
-8.69464724;-1.5226318;8;low;3
0.212502969;-6.423277427;8;low;3
11.02192756;-7.087424463;8;low;3
5.84867852;-4.12211964;8;low;3
-22.9535327;14.59623829;8;low;3
1.464885225;0.749006832;8;low;3
0.576480533;0.858431481;8;low;3
-5.237323655;-0.325247896;8;low;3
-19.19245039;3.206244911;8;low;3
-6.152797388;-4.665621559;8;low;3
-23.94642129;4.475613071;8;low;3
0.224678773;-8.434437475;8;low;3
-3.892610644;-4.807693109;8;low;3
-16.28956368;2.352553092;8;low;3
-5.790143822;-4.52363584;8;low;3
-7.998747213;-1.833322711;8;low;3
-1.594620452;-7.670322354;8;low;3
-17.02269914;0.137934336;8;low;3
22.25245616;-10.96438233;8;low;3
68.17601932;-13.2005648;8;low;3
34.34563237;11.21441475;8;low;3
15.60434847;21.7128996;8;low;3
6.673602235;26.3611;8;low;3
4.628085482;23.86707305;8;low;3
1.97213661;1.019814948;8;low;3
-9.620324175;-3.848375053;8;low;3
-13.75930489;-4.474264247;8;low;3
1.28048736;-8.920500378;8;low;3
-18.42821566;3.468229007;8;low;3
-0.29557102;-6.474188772;8;low;3
-13.27791907;0.240678204;8;low;3
-3.355154107;-3.877637161;8;low;3
-19.88223696;2.031660526;8;low;3
-30.72262411;9.885227276;8;low;3
-26.16720451;0.974325154;8;low;3
79.78069815;-20.20969944;8;high;3
151.1726532;-15.94148394;8;high;3
150.9183773;12.33590956;8;high;3
133.5305307;30.0956329;8;high;3
67.9326696;63.17168607;8;high;3
-1.462341908;48.11331791;7;low;3
11.02156444;39.63631476;7;low;3
1.34427358;34.93403908;7;low;3
10.81827146;0.786745312;7;low;3
-24.9520561;5.155845481;7;low;3
-20.73618464;2.060667409;7;low;3
-21.0992249;2.045866132;7;low;3
-13.71399209;-2.379430604;7;low;3
3.97266609;-12.09796559;7;low;3
-14.63374968;-0.479007393;7;low;3
-2.702424744;-4.822523342;7;low;3
-9.541749933;-0.362200257;7;low;3
4.911041713;-5.966929145;7;low;3
-12.36970672;-0.275913199;7;low;3
-16.73099315;2.794089091;7;low;3
-10.63063258;-2.976070356;7;low;3
-8.829558102;-3.90062829;7;low;3
-18.97721439;-4.914635231;7;low;3
19.5736827;-12.33604209;7;low;3
8.509208991;-2.783689119;7;low;3
3.151588011;1.226713575;7;low;3
8.258364588;-0.840426225;7;low;3
-7.12132911;8.56311774;7;low;3
-3.711906548;-0.516700064;7;low;3
-11.63286764;1.549160946;7;low;3
-3.967327575;-4.053178482;7;low;3
4.473104978;-9.605138052;7;low;3
-11.85843208;0.951917379;7;low;3
11.48951255;-8.008525074;7;low;3
8.624372236;-3.835541105;7;low;3
-7.230815784;5.146586468;7;low;3
2.428612787;-1.731183144;7;low;3
5.642665505;-2.833161211;7;low;3
-19.05131052;8.735210046;7;low;3
-5.241919015;-2.332665842;7;low;3
14.58716868;-7.767419642;7;low;3
1.576774275;-0.156157603;7;low;3
-8.537294381;2.6979712;7;low;3
-10.96463897;3.915941864;7;low;3
