principal component 1;principal component 2;age;Risk;model
1.620206451;2.836272742;18;low;3
0.988283368;2.09724335;18;low;3
0.693608097;2.677867514;18;low;3
-0.475363917;-0.254848512;18;low;3
-1.381431167;-0.423865415;18;low;3
-0.563225656;-0.021460579;18;low;3
-0.192757125;-0.349868282;18;low;3
-0.788129465;-0.573918265;18;low;3
-0.239650433;-0.491250882;18;low;3
-0.405638358;-0.872147877;18;low;3
-0.269689049;-0.441509254;18;low;3
-1.116676635;-0.215469818;18;low;3
-1.289045191;-0.512874005;18;low;3
-1.396126112;-0.467259901;18;low;3
-0.616915324;1.280968735;18;low;3
-1.09157154;-0.026826347;18;low;3
-0.749880785;-0.742773556;18;low;3
0.99036795;1.488842796;18;low;3
2.348876009;3.067888406;18;low;3
2.694542044;4.517930935;18;low;3
2.155742722;2.756684347;18;low;3
3.601374154;1.553253169;18;low;3
7.291682307;1.120328057;18;low;3
8.302158051;0.984768678;18;low;3
5.344472878;1.470958715;18;low;3
4.536274565;0.780077158;18;low;3
4.44817256;0.419448146;18;low;3
2.065865159;1.445352739;18;low;3
-1.088534138;0.42368235;18;low;3
-0.740137324;0.094960517;18;low;3
-1.091891521;0.139979243;18;low;3
-1.481823594;-0.229241361;18;low;3
-0.129072159;-0.286729403;18;low;3
-0.819903392;-0.223240069;18;low;3
0.41032517;-0.246170949;18;low;3
-0.25170425;0.025693134;18;low;3
-0.529244224;0.007047923;18;low;3
-0.75971383;-0.096392629;18;low;3
0.059550808;0.388170675;18;low;3
-0.262358797;0.240457918;18;low;3
-1.112131027;0.519910019;18;low;3
-1.07067481;0.407438656;18;low;3
-1.128532562;0.324913857;18;low;3
-0.774991418;-0.24983335;18;low;3
-1.458488564;-0.055136727;18;low;3
-0.782472314;0.52980371;18;low;3
-0.987663269;0.165432157;18;low;3
0.429504148;0.3785932;18;low;3
0.612099659;0.303307253;18;low;3
0.087346378;0.976581793;18;low;3
0.012738535;0.124728951;18;low;3
-0.580347635;0.242421774;18;low;3
-0.567789608;-0.313225806;18;low;3
-1.478520181;0.800410732;18;low;3
-1.445282834;0.533207015;18;low;3
-0.65953943;0.031716383;18;low;3
-1.391049647;0.202848497;18;low;3
