principal component 1;principal component 2;Label
-31.03;-4.73;BallFault
-29.25;-4.44;BallFault
-32.15;-4.31;BallFault
-24.41;-3.71;BallFault
-29.33;-3.99;BallFault
-23.92;-3.58;BallFault
-28.50;-3.75;BallFault
-25.97;-3.47;BallFault
-32.69;-3.53;BallFault
-30.52;-3.41;BallFault
-23.87;-2.34;BallFault
-23.12;-2.35;BallFault
-24.20;-2.67;BallFault
-27.16;-3.09;BallFault
-26.04;-3.11;BallFault
-18.79;-2.87;BallFault
-25.39;-3.46;BallFault
-24.64;-3.55;BallFault
-26.98;-3.89;BallFault
-27.19;-4.20;BallFault
-23.83;-4.79;Healthy
-27.32;-4.75;Healthy
-25.22;-4.48;Healthy
-26.16;-4.49;Healthy
-19.15;-3.85;Healthy
-32.94;-4.54;Healthy
-22.22;-3.89;Healthy
-28.62;-4.41;Healthy
-22.85;-4.17;Healthy
-25.98;-4.47;Healthy
-23.07;-2.77;BallFault
-27.19;-2.99;BallFault
-24.25;-3.06;BallFault
-29.22;-3.63;BallFault
-24.28;-3.34;BallFault
-26.14;-3.70;BallFault
-27.78;-4.03;BallFault
-30.87;-4.35;BallFault
-27.64;-4.45;BallFault
-18.32;-4.30;BallFault
20.26;-0.64;OuterFault
15.58;-0.30;OuterFault
21.97;-0.82;OuterFault
4.36;-1.90;OuterFault
24.70;-0.78;OuterFault
-10.29;-3.35;OuterFault
-3.17;-2.96;OuterFault
-12.11;-3.70;OuterFault
-1.45;-2.43;OuterFault
27.15;-0.61;OuterFault
-29.22;-5.37;Healthy
-23.65;-4.75;Healthy
-21.09;-4.26;Healthy
-28.70;-4.69;Healthy
-26.36;-4.49;Healthy
-26.03;-4.28;Healthy
-26.06;-4.15;Healthy
-29.32;-4.12;Healthy
-23.62;-3.50;Healthy
-28.00;-3.89;Healthy
47.38;2.75;InnerFault
43.19;3.75;InnerFault
33.15;3.51;InnerFault
38.98;4.67;InnerFault
58.87;6.85;InnerFault
27.28;4.29;InnerFault
53.78;6.05;InnerFault
25.72;2.95;InnerFault
42.08;3.28;InnerFault
39.47;1.81;InnerFault
26.94;7.62;InnerFault
28.28;6.57;InnerFault
49.44;6.84;InnerFault
35.11;4.73;InnerFault
35.73;3.91;InnerFault
