Label;principal component 1;principal component 2
Fault;-0.122302881;-0.018641575
Fault;-0.115300888;-0.017504936
Fault;-0.126718939;-0.016975573
Fault;-0.096205864;-0.014625511
Fault;-0.11562718;-0.015725416
Fault;-0.094297026;-0.01410607
Fault;-0.112348426;-0.014778552
Fault;-0.102380459;-0.013688204
Fault;-0.128841445;-0.0139026
Fault;-0.120291058;-0.013437182
Fault;-0.094089075;-0.009212445
Fault;-0.091126566;-0.009246836
Fault;-0.095382503;-0.01051878
Fault;-0.107053646;-0.012178008
Fault;-0.102658481;-0.012262086
Fault;-0.07405479;-0.011301249
Fault;-0.10008732;-0.013632622
Fault;-0.097113481;-0.01397745
Fault;-0.1063374;-0.015336575
Fault;-0.107178024;-0.016546711
Healthy;-0.093923129;-0.018871738
Healthy;-0.107668046;-0.018737747
Healthy;-0.099405669;-0.017666664
Healthy;-0.10310738;-0.017707216
Healthy;-0.075472836;-0.015192452
Healthy;-0.129828527;-0.01787956
Healthy;-0.087578475;-0.015326534
Healthy;-0.112807069;-0.017391027
Healthy;-0.090083425;-0.016423714
Healthy;-0.102421914;-0.017636321
Fault;-0.090932402;-0.010912263
Fault;-0.107156559;-0.011769439
Fault;-0.095599653;-0.012060545
Fault;-0.115161638;-0.014290844
Fault;-0.095723446;-0.013177294
Fault;-0.103021933;-0.014581297
Fault;-0.109511759;-0.015897479
Fault;-0.121694332;-0.017153419
Fault;-0.108968226;-0.017555933
Fault;-0.072227639;-0.016963841
Fault;0.079856982;-0.002513273
Fault;0.061410119;-0.001198625
Fault;0.086609319;-0.003231081
Fault;0.017171517;-0.007479537
Fault;0.097350065;-0.003071434
Fault;-0.040554077;-0.013190965
Fault;-0.012500918;-0.011678583
Fault;-0.047739328;-0.014575023
Fault;-0.005707617;-0.009567815
Fault;0.107010076;-0.002411075
Healthy;-0.11516739;-0.021148265
Healthy;-0.093232683;-0.018722391
Healthy;-0.083118384;-0.016785811
Healthy;-0.1131468;-0.018494544
Healthy;-0.103922252;-0.01771284
Healthy;-0.102616818;-0.016884511
Healthy;-0.102731064;-0.016377756
Healthy;-0.115581861;-0.016244385
Healthy;-0.09309248;-0.013793913
Healthy;-0.110362507;-0.015351603
Fault;0.186770609;0.010834163
Fault;0.170224904;0.014791429
Fault;0.130684269;0.013844773
Fault;0.153654197;0.018414412
Fault;0.232032439;0.026996406
Fault;0.10753397;0.01689491
Fault;0.21196989;0.023836239
Fault;0.101394533;0.011631712
Fault;0.165884909;0.012937863
Fault;0.155580477;0.007125157
Fault;0.106191681;0.030047871
Fault;0.111488734;0.025879635
Fault;0.19489472;0.026951919
Fault;0.138406271;0.018661414
Fault;0.140827782;0.015425313
Fault;0.120063672;0.011982287
Fault;0.12462814;0.007936256
Fault;0.139551804;0.010139396
Fault;0.137891079;0.01226246
Fault;0.079679416;0.011808212
Fault;0.116840692;0.000859199
Fault;0.006295405;-0.006767346
Fault;0.042605898;-0.004426885
Fault;0.082775057;-0.001925573
Fault;0.068463342;-0.005674733
Fault;-0.051773557;-0.013575368
Fault;0.005473043;-0.010121278
Fault;-0.028129984;-0.013207887
Fault;-0.003263499;-0.01028904
Fault;0.124960036;-0.000363411
Fault;0.163868076;0.032676699
Fault;0.14289556;0.026117459
Fault;0.18014748;0.023731811
Fault;0.14420195;0.019082923
Fault;0.178372762;0.016852347
Fault;0.136614338;0.012271363
Fault;0.133532778;0.011712007
Fault;0.131353833;0.0097904
Fault;0.180546768;0.010850527
Fault;0.145794507;0.005154512
Healthy;-0.099184476;-0.015794992
Healthy;-0.106813054;-0.016547075
Healthy;-0.117966673;-0.017666524
Healthy;-0.096846182;-0.016410705
Healthy;-0.090834841;-0.017004661
Healthy;-0.074172128;-0.016143649
Healthy;-0.107428972;-0.019488045
Healthy;-0.113175841;-0.020392571
Healthy;-0.092391286;-0.018298413
