principal component 1;principal component 2;Label
-0.122302881;-0.018641575;BallFault
-0.115300888;-0.017504936;BallFault
-0.126718939;-0.016975573;BallFault
-0.096205864;-0.014625511;BallFault
-0.11562718;-0.015725416;BallFault
-0.094297026;-0.01410607;BallFault
-0.112348426;-0.014778552;BallFault
-0.102380459;-0.013688204;BallFault
-0.128841445;-0.0139026;BallFault
-0.120291058;-0.013437182;BallFault
-0.094089075;-0.009212445;BallFault
-0.091126566;-0.009246836;BallFault
-0.095382503;-0.01051878;BallFault
-0.107053646;-0.012178008;BallFault
-0.102658481;-0.012262086;BallFault
-0.07405479;-0.011301249;BallFault
-0.10008732;-0.013632622;BallFault
-0.097113481;-0.01397745;BallFault
-0.1063374;-0.015336575;BallFault
-0.107178024;-0.016546711;BallFault
-0.093923129;-0.018871738;Healthy
-0.107668046;-0.018737747;Healthy
-0.099405669;-0.017666664;Healthy
-0.10310738;-0.017707216;Healthy
-0.075472836;-0.015192452;Healthy
-0.129828527;-0.01787956;Healthy
-0.087578475;-0.015326534;Healthy
-0.112807069;-0.017391027;Healthy
-0.090083425;-0.016423714;Healthy
-0.102421914;-0.017636321;Healthy
-0.090932402;-0.010912263;BallFault
-0.107156559;-0.011769439;BallFault
-0.095599653;-0.012060545;BallFault
-0.115161638;-0.014290844;BallFault
-0.095723446;-0.013177294;BallFault
-0.103021933;-0.014581297;BallFault
-0.109511759;-0.015897479;BallFault
-0.121694332;-0.017153419;BallFault
-0.108968226;-0.017555933;BallFault
-0.072227639;-0.016963841;BallFault
0.079856982;-0.002513273;OuterFault
0.061410119;-0.001198625;OuterFault
0.086609319;-0.003231081;OuterFault
0.017171517;-0.007479537;OuterFault
0.097350065;-0.003071434;OuterFault
-0.040554077;-0.013190965;OuterFault
-0.012500918;-0.011678583;OuterFault
-0.047739328;-0.014575023;OuterFault
-0.005707617;-0.009567815;OuterFault
0.107010076;-0.002411075;OuterFault
-0.11516739;-0.021148265;Healthy
-0.093232683;-0.018722391;Healthy
-0.083118384;-0.016785811;Healthy
-0.1131468;-0.018494544;Healthy
-0.103922252;-0.01771284;Healthy
-0.102616818;-0.016884511;Healthy
-0.102731064;-0.016377756;Healthy
-0.115581861;-0.016244385;Healthy
-0.09309248;-0.013793913;Healthy
-0.110362507;-0.015351603;Healthy
0.186770609;0.010834163;InnerFault
0.170224904;0.014791429;InnerFault
0.130684269;0.013844773;InnerFault
0.153654197;0.018414412;InnerFault
0.232032439;0.026996406;InnerFault
0.10753397;0.01689491;InnerFault
0.21196989;0.023836239;InnerFault
0.101394533;0.011631712;InnerFault
0.165884909;0.012937863;InnerFault
0.155580477;0.007125157;InnerFault
0.106191681;0.030047871;InnerFault
0.111488734;0.025879635;InnerFault
0.19489472;0.026951919;InnerFault
0.138406271;0.018661414;InnerFault
0.140827782;0.015425313;InnerFault
0.120063672;0.011982287;InnerFault
0.12462814;0.007936256;InnerFault
0.139551804;0.010139396;InnerFault
0.137891079;0.01226246;InnerFault
0.079679416;0.011808212;InnerFault
0.116840692;0.000859199;OuterFault
0.006295405;-0.006767346;OuterFault
0.042605898;-0.004426885;OuterFault
0.082775057;-0.001925573;OuterFault
0.068463342;-0.005674733;OuterFault
-0.051773557;-0.013575368;OuterFault
0.005473043;-0.010121278;OuterFault
-0.028129984;-0.013207887;OuterFault
-0.003263499;-0.01028904;OuterFault
0.124960036;-0.000363411;OuterFault
0.163868076;0.032676699;InnerFault
0.14289556;0.026117459;InnerFault
0.18014748;0.023731811;InnerFault
0.14420195;0.019082923;InnerFault
0.178372762;0.016852347;InnerFault
0.136614338;0.012271363;InnerFault
0.133532778;0.011712007;InnerFault
